question,answer,tags
What's a BCEID? Do I have to sign in?,"BCeID Login is recommended, not required. You can apply with or without BCeID. However, we strongly encourage applying with BCeID because you can save your progress and edit your application after submission.","bceid, login, sign-in, application"
Does the Water Sustainability Act apply to me?,"The Water Sustainability Act applies to any water utilities or services that fall under the legislative authority of the Government of British Columbia. Even if a utility operates partly outside provincial authority, the Act still applies to any portion that is regulated by the Province of BC. You don't need to read the document, and the system will guide you through how it applies to your application.","water sustainability act, regulation, eligibility, bc law"
"I heard there's new livestock regulations, should I wait?","No, you should not wait. If you need water for your operation, apply now rather than waiting for potential future changes. Livestock watering rules have been discussed in policy work, but the current requirement is still to get a water authorization for industrial livestock watering.","livestock regulations, timing, authorization"
How much will it cost?,"There's a one-time application fee of at least $250. If an authorization is issued, annual water rentals may also apply. Fees depend on the type of water use, and some purposes are charged a flat rate.","fees, cost, application fee, water rental"
How long will it take to process my application?,"Processing time varies. Applications can take longer if more technical review is needed, if other parties are notified, or if First Nations consultation is required. Submitting a complete and accurate application can help avoid delays.","processing time, timeline, application, permit review time"
Can I start watering cattle while waiting for approval?,"No. You need a water licence or approval before you start using water for livestock or irrigation. Proceeding without authorization can lead to compliance or enforcement action, including orders to stop, change, or remove the work.","use before approval, compliance, livestock, water use"
Do I need a licence for my hobby farm?,"If you're diverting or using water for livestock watering, that is considered a non-domestic use and normally requires an authorization.","hobby farm, licence, livestock, water use"
"I'm the land owner, am I eligible?","Yes. If you own the land where the water will be used, you are eligible to apply for a water licence.","eligibility, land owner, water licence"
Where do I find my client number?,"Your client number is shown on past correspondence from FrontCounter BC, such as previous applications, invoices, or approval letters.","client number, frontcounter bc, application"
How do I know if I have an existing water licence?,"You can check existing licences using the Water Licence Search tool(https://j200.gov.bc.ca/pub/ams/Default.aspx). This helps confirm whether a licence is already attached to the property and what it authorizes, including the water use purpose and quantity.","existing licence, search, water licence, water rights"
What's the difference between surface water and groundwater?,"Groundwater is water found below the surface of the ground, while surface water includes water in rivers, lakes, and streams. For licensing purposes, how water is classified depends on how it is accessed and used.","surface water, groundwater, definition, water types"
I would like to divert water from a spring to troughs for cattle. Is it groundwater or surface water?,"A spring is groundwater that has reached the surface. For licensing purposes, how the water is treated depends on how it is collected and used. If the spring flows into a channel and you divert from that channel, it is generally treated as surface water.","spring, surface water, groundwater, classification, livestock"
Is there already a water licence on this land?,You can check existing licences using the Water Licence Search tool. This helps confirm whether a licence is already attached to the property and what it authorizes.,"existing licence, water licence, search"
Calculate the total annual water quantity for me,"I can help estimate your annual water quantity, but I first need information about your livestock type, number of animals, and how many days per year water is required.","calculation, water quantity, livestock, estimation"
I'm planning to water 60 cows year-round. What is my estimated annual water use?,"Based on 60 beef cattle requiring water year-round (365 days), the estimated total annual water use is about 1,100 cubic metres per year.","calculation, livestock, water use, estimate"
What information should I include in the comments section?,"Include a clear description of your water use plan, such as how the water source behaves throughout the year, how water is taken, whether flow is continuous, and any other relevant details that help reviewers understand your proposal.","comments, application, review, description"
Does the spring flow year-round?,"You should describe whether the spring flows year-round, whether it decreases in summer, or if it ever stops flowing. This helps reviewers assess the reliability of the water source.","spring, flow, water source, technical"
How do I describe how I take water from the spring?,"You should describe whether water is taken continuously or intermittently, and whether it is a low or high volume diversion.","water diversion, spring, technical, description"
Do cattle need to drink directly from the spring?,"No. Water can be diverted to off-stream troughs, and cattle do not need to access the spring or channel directly.","livestock, troughs, water access"
